,brewery_name,brewery_location,brewery_type,number_beers,brewery_ratings
0,Pips Meadery,"Beach Park, IL United States",Meadery,"174 Beers 56,552 Ratings",(4.64)
1,Brewlihan,"Oakland Park, FL United States",Meadery,"77 Beers 3,866 Ratings",(4.54)
2,Zymarium,"Orlando, FL United States",Meadery,"106 Beers 3,890 Ratings",(4.527)
3,Schramm's Mead,"Ferndale, MI United States",Meadery,"110 Beers 133,817 Ratings",(4.52)
4,Marlobobo,"Sande, Vestfold Norway",Meadery,"104 Beers 17,603 Ratings",(4.516)
5,Boneflower Craft Mead,"St. John, IN United States",Meadery,"46 Beers 9,624 Ratings",(4.45)
6,Township Meadery,"Odenton, MD United States",Meadery,"61 Beers 1,589 Ratings",(4.437)
7,Pye Road Meadworks,"Odessa, FL United States",Meadery,"208 Beers 9,573 Ratings",(4.424)
8,Standard Meadery,"Villa Park, IL United States",Meadery,"192 Beers 31,806 Ratings",(4.418)
9,Funktastic Meads,"Midlothian, VA United States",Meadery,"217 Beers 9,675 Ratings",(4.404)
10,Furious Meads,"Kraków, Małopolskie Poland",Meadery,"25 Beers 1,964 Ratings",(4.378)
11,Garagiste Meadery,"Tampa, FL United States",Meadery,"262 Beers 92,741 Ratings",(4.36)
12,Manic Meadery,"Crown Point, IN United States",Meadery,"188 Beers 23,212 Ratings",(4.354)
13,Alcove,"Vladimir, Vladimir Oblast Russia",Meadery,"10 Beers 3,270 Ratings",(4.339)
14,Hex Meadery,"Kaukauna, WI United States",Meadery,"47 Beers 1,183 Ratings",(4.329)
15,Honey Pot Meadery,"Anaheim, CA United States",Meadery,"298 Beers 21,527 Ratings",(4.303)
16,Ceiba,"Miami, FL United States",Meadery,"88 Beers 1,315 Ratings",(4.282)
17,Kollektiv Mead,"The Hague, Zuid-Holland Netherlands",Meadery,"20 Beers 1,434 Ratings",(4.279)
18,Misbeehavin' Meads,"Valparaiso, IN United States",Meadery,"233 Beers 31,564 Ratings",(4.259)
19,Four Fires Meadery,"Maumee, OH United States",Meadery,"256 Beers 18,958 Ratings",(4.245)
20,Burnt Barrel Meadery,"Lake Saint Louis, MO United States",Meadery,"48 Beers 1,860 Ratings",(4.236)
21,Second City Meadery,"Chicago, IL United States",Meadery,"159 Beers 5,860 Ratings",(4.236)
22,Nectareous,"Longwood, FL United States",Meadery,"34 Beers 2,401 Ratings",(4.234)
23,Antelope Ridge Mead,"Colorado Springs, CO United States",Meadery,"44 Beers 1,880 Ratings",(4.224)
24,Capital Hive Meadery,"Leesburg, VA United States",Meadery,"81 Beers 1,907 Ratings",(4.218)
25,Api Del Bernini,Russia,Meadery,"5 Beers 1,075 Ratings",(4.213)
26,Meadiaeval Bardcore,Russia,Meadery,"17 Beers 1,205 Ratings",(4.163)
27,Maniacal Mead Co.,"Ypsilanti, MI United States",Meadery,"85 Beers 1,788 Ratings",(4.156)
28,Superstition Meadery,"Prescott, AZ United States",Meadery,"458 Beers 170,913 Ratings",(4.152)
29,Steppe & Wind Meadery (Степь и Ветер),"Orenburg, Оренбургская область Russia",Meadery,"92 Beers 66,344 Ratings",(4.118)
30,Wildflyer Mead Company,"Navasota, TX United States",Meadery,"61 Beers 2,097 Ratings",(4.113)
31,The Attic Meadery,"Gothenburg, Västra Götalands län Sweden",Meadery,"85 Beers 8,757 Ratings",(4.093)
32,Costa Rica Meadery,"Santa Bárbara de Heredia, Heredia Province Costa Rica",Meadery,"31 Beers 1,024 Ratings",(4.092)
33,Lost Cause Meadery,"San Diego, CA United States",Meadery,"164 Beers 11,423 Ratings",(4.079)
34,Atlas Meadery,"Moscow, Москва Russia",Meadery,"14 Beers 2,040 Ratings",(4.071)
35,Saint Michael's Mead,"Hye, TX United States",Meadery,"5 Beers 1,777 Ratings",(4.057)
36,Silver Spoon Brewery,"Kharkiv, Харківська область Ukraine",Meadery,"60 Beers 3,460 Ratings",(4.05)
37,The Brimming Horn Meadery,"Milton, DE United States",Meadery,"411 Beers 10,489 Ratings",(4.043)
38,Black Heath Meadery,"Richmond, VA United States",Meadery,"307 Beers 12,437 Ratings",(4.041)
39,Pasieka Jaros,"Łazisko, Tomaszów Mazowiecki, Łódzkie Poland",Meadery,"30 Beers 1,924 Ratings",(4.04)
40,Scale & Feather Meadery,"Avondale, AZ United States",Meadery,"127 Beers 2,415 Ratings",(4.032)
41,Artivem Mead Co.,"Bellingham, WA United States",Meadery,"65 Beers 1,734 Ratings",(4.024)
42,Zen Bee Meadery,"Worthington, OH United States",Meadery,"42 Beers 1,130 Ratings",(4.018)
43,W A Meadwerks,"Lindenhurst, NY United States",Meadery,"109 Beers 8,029 Ratings",(4.012)
44,Melovino Meadery,"Vauxhall, NJ United States",Meadery,"346 Beers 21,830 Ratings",(4.007)
45,Медоварня B-side,"Saint Petersburg, Санкт-Петербург Russia",Meadery,"5 Beers 2,118 Ratings",(3.991)
46,Nordic Meadery,"Saint Petersburg, Санкт-Петербург Russia",Meadery,"22 Beers 5,210 Ratings",(3.987)
47,Arizona Mead Company,"Chandler, AZ United States",Meadery,"38 Beers 1,355 Ratings",(3.986)
48,The Blacksmith's Meadery,"Schilde, Vlaanderen Belgium",Meadery,"23 Beers 1,710 Ratings",(3.972)
49,Mission-Trail,"Bradley, CA United States",Meadery,"142 Beers 12,962 Ratings",(3.971)
